afghanistan,botswana,chile,china,cuba,egypt,germany,haiti,india,iran,iraq,israel,japan,libya,mexico,norway,philippines,poland,russia,singapore,syria,ukraine,united states,vietnam
"""Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.""â€”VP Joe Biden",The First Lady landed in Botswana today and was greeted with a special dance performance. Watch here:http://youtu.be/GPUnhq1h3NUÂ ,"Speaking live from Santiago, Chile. Watch at 3:20pm ET. http://wh.gov/live","""If we don't write the rules for trade around the world, guess what: China will."" â€”President Obama #LeadOnTrade","These three Marines lowered the American flag in #Cuba in 1961. Today, they raised it again:http://ofa.bo/q97HÂ ","Today belongs to the people of Egypt, who have made it clear that nothing less than genuine democracy will carry the day. http://OFA.BO/uu4L","President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",Presidents Clinton and Bush have issued a call to actionâ€”Join the relief efforts of the Clinton Bush Haiti Fund: http://bit.ly/5-x,"FACT: As governor, Romney signed a $160,000/month contract that used taxpayer money for a consumer call center in India.","""This vote is a victory for diplomacy ... and for the safety and security of the world."" â€”President Obama on the #IranDeal vote","â€œMore than a decade later, we still live with the consequences of the decision to invade Iraq.â€ â€”President Obama #IranDeal","Haaretz: ""Obama is good for Israel.""http://OFA.BO/V8smbDÂ ","President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",#RomneyExposed RT @politicalwire: That exchange on Libya was Romney's Gerald Ford moment. He was lost and not presidential at all.,"FACT: Romneyâ€™s firm invested in a Denver-based electronics manufacturer that laid off more than 1,500 workers and sent jobs to Mexico.",â€œI wanted to personally extend my condolences to the people of Norway.â€ â€“ President Obama http://OFA.BO/K2ZTk8Â ,"""Our thoughts and prayers continue to be with the people of the Philippines."" â€”President Obama. Here's how to help: http://OFA.BO/RdHFyXÂ ","We join the people of Poland in mourning the passing of Polish President Kaczynski, and all those killed in today's tragic plane crash.","POTUS on Romney: ""A few months ago, when you were asked whatâ€™s the biggest geopolitical threat facing America, you said Russia.""","In Singapore, continuing the visit to Asia. Watch trip updates by staff on the @WhiteHouse blog: http://bit.ly/3s4PCD http://bit.ly/16W8YM",Watch live: President Obama addresses the nation on Syria. http://OFA.BO/zdcX6zÂ ,Happening now: President Obama delivers a statement on the situation in Ukraine. http://ofa.bo/c0GMÂ ,"""The number one reason Iâ€™m optimistic going into 2016: It's youâ€”the American people."" â€”President Obamahttp://ofa.bo/g9WfÂ ",A former Republican senator and Vietnam veteran endorses President Obama for a second term as commander-in-chief: http://OFA.BO/bEZHZeÂ 
FACT: Almost twice as many people were murdered by guns from 2001-2010 in Arizona than killed in combat in Afghanistan. #DemandAction,,The American people send their deepest condolences to the Chilean people. The U.S. is ready to help in any way.,#ClimateChangeIsReal. So is the historic agreement between the U.S. and China last fall to cut carbon pollution.,Happening now: President Obama delivers a statement on Cuba. http://ofa.bo/h212Â ,Delivering a statement on Egypt. Watch live at 3pm ET on http://wh.gov/live.,â€œIâ€™m not gonna cede the wind or solar or battery industry to China or Germany.â€â€”the President on his commitment to American clean energy,"Pres. Preval of #Haiti, by phone, to you: ""From the bottom of my heart & on behalf of the Haitian people, thank you, thank you, thank you.""","Valerie: ""I really feel in my heart people need to know what Mitt Romney did to Marion, Indiana in 1994.""http://OFA.BO/mTFZEsÂ ",The #IranDeal has overwhelming support among leading scientists and non-proliferation experts.pic.twitter.com/BxrK6jldNt,Happening now: The President delivers a statement on Iraq and the situation in #Ferguson. http://ofa.bo/s0hzÂ ,"""I will stand with Israel if they are attacked.""â€”President Obama","""We continue to be inspired by the Japanese people, who faced unimaginable loss with extraordinary fortitude.""http://OFA.BO/jnCiaRÂ ",Every American can be proud of the lives weâ€™ve saved in Libya and of the service of our men and women in uniform. http://OFA.BO/96DX9m,My administration will continue to use every single available resource at our disposal to address the oil spill in the Gulf of Mexico.,,,,"RT @whitehouse Welcome to @twitter President Medvedev! RT @KremlinRussia_E: Hello everyone! I'm on Twitter, and this is my first tweet.",,President Obama will address the nation this evening regarding the situation in Syria. Tune in at 9:00 p.m. ET. http://OFA.BO/BFhZF3Â ,LIVE: President Obama is delivering a statement on Ukraine. http://ofa.bo/dHKÂ ,"Thanks to American leadership, countries around the world are standing #UnitedOnClimate. http://ofa.bo/d5LVÂ ",
"President Obama: ""By the end of next year, our war in Afghanistan will be over.""",,,Add your name if you support the President's historic agreement with China on climate change: http://ofa.bo/q1YNÂ  #ActOnClimate,,,,The first waves of our rescue workers are on the ground and at work in #Haitiâ€”Watch today's update and learn how to help: http://bit.ly/6-x,Indiana voters: Tweet @SenDanCoats and @senatorlugar and ask them to compromise on a balanced deficit solution .,Leading scientists and non-proliferation experts are making their voices heard on the #IranDeal.pic.twitter.com/uMyNmBwrvf,Happening now: President Obama delivers a statement on the situation in Iraq. http://ofa.bo/q0XKÂ ,"RT @Obama2012: President Obama: ""There should not be a shred of doubt by now: when the chips are down, I have Israelâ€™s back."" #AIPAC","Couldn't be prouder of the women of #USWNT after a hard-fought game. Congratulations to Japan, Women's World Cup Champions.",Delivering a statement on Libya from the White House at 5:15pm ET. http://wh.gov/live,,,,,Our thoughts and prayers go out to the people of Russia after the terrible loss of life and injuries from the bombings on the Moscow Metro.,,,,"""America, this will changeâ€”but only when we stand up, together, and demand it."" â€”President Obama http://ofa.bo/e5IZÂ  #SandyHook",
President Obama on ending the war in Afghanistan and rebuilding America:http://OFA.BO/Urrm5TÂ ,,,This is huge: The United States and China have just agreed on an ambitious new joint plan to cut carbon pollution.http://ofa.bo/b1ZEÂ ,,,,"Today, our thoughts and prayers are with the people of Haiti. Learn about relief efforts and how you can help: http://bit.ly/o-X",Welcoming Prime Minister Singh of India for the first state visit of this administration. Watch: http://bit.ly/6frh-,"""It is surely the pursuit of peace that is most needed in this world so full of strife."" â€”President Obama #IranDeal","""We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq."" â€”President Obama",,Delivering a statement about Japan from the Rose Garden. Watch live at 3:30pm ET. http://wh.gov/live,,,,,,,,,,This is huge: Almost every country in the world just signed on to the #ParisAgreement on climate changeâ€”thanks to American leadership.,
"President Obama: ""By the end of next year, Americaâ€™s war in Afghanistan will be over.""http://OFA.BO/PfK8QgÂ ",,,"President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",,,,,,"""As Americans, we should be proud of this achievement."" â€”President Obama #IranDeal","FACT: Last decade, 3,766 people were murdered with guns in Ohioâ€”more than the number of combat deaths in the Iraq war. #DemandAction",,The State Department is working to account for and assist any and all American citizens who are in Japan.,,,,,,,,,,"With American leadership, more than 180 nations have committed to tackling climate change. #UnitedOnClimatepic.twitter.com/iq1SyJhVsX",
FACT: President Obama has a plan to end the war in Afghanistan in 2014â€”Mitt Romney does not.,,,"President Obama and China's announcement is ""serious momentum for quick action to cut greenhouse gases"" http://OFA.BO/1LVCÂ  #ActOnClimate",,,,,,"""Now we have before us a solution that prevents Iran from obtaining a nuclear weapon without resorting to war."" â€”President Obama #IranDeal","""Michelle and I join our fellow Americans in paying tribute to all who served and sacrificed in one of our nationâ€™s longest wars."" #Iraq",,"Sending condolences to the people of Japan, particularly those who lost loved ones in the earthquake & tsunamis. U.S. stands ready to help.",,,,,,,,,,LIVE: President Obama is addressing the nation on the threat of terrorism and keeping the American people safe. http://ofa.bo/p9d0Â ,
"VP Biden on Afghanistan: ""We are leaving in 2014. Period.""",,,"On Romney: ""He's hoping you don't remember that his economic plan is more likely to create jobs in China than here in the United States.""",,,,,,"""President Kennedy warned Americans not to see conflict as inevitable. It is time to apply such wisdom.â€ â€”President Obama #IranDeal","President Obama: ""I said that I'd end the war in Iraq, and I ended it. I said I'd pass health care reform, and I passed it."" #Forward",,,,,,,,,,,,"""Here in America itâ€™s way too easy for dangerous people to get their hands on a gun."" â€”President Obamahttp://ofa.bo/t9ShÂ ",
"FACT: Unlike President Obama, Romney has no plan to end the war in Afghanistan and bring our troops home.",,,"The Romney-Ryan jobs plan could create 73,000 jobsâ€”in China: http://twitpic.com/b382frÂ  #RomneyWrong",,,,,,"""I have repeatedly challenged anyone opposed to this deal to put forward a better, plausible alternative."" â€”President Obama #IranDeal","â€œYou know I mean what I say and I say what I mean. I said Iâ€™d end the war in Iraq, and I did. I said Iâ€™d reform health care, and I did.â€",,,,,,,,,,,,Show your support for American leadership in the international effort to #ActOnClimate:http://ofa.bo/t9RvÂ ,
"â€œRomney had nothing to say about Afghanistan last week, let alone offer a plan for the 33,000 troops who will have come home this month.â€",,,Mitt Romney: Believe in China. http://OFA.BO/AWGxU3Â  #SketchyDeal,,,,,,"""When we carefully examine the arguments against this deal, none of them stand up to scrutiny.â€ â€”President Obama #IranDeal","""Because of the sacrifice of our brave men and women in uniform, the war in Iraq is over. The war in Afghanistan is coming to a close.""",,,,,,,,,,,,The Clean Power Plan is one of the biggest step America's ever taken to tackle climate change.pic.twitter.com/UOvVIhJ7pp,
"President Obama: ""By 2014, the war in Afghanistan will be over.""",,,"President Obama on Romney's claim he'll be tough on China: ""It feels like a fox saying we need more secure chicken coops.""",,,,,,"""Worry less about being labeled weak. Worry more about getting it right.â€ â€”President Obama #IranDeal",Obama: â€œItâ€™s time to use the savings from ending the wars in Iraq and Afghanistan to start paying down our debt and rebuilding America.â€,,,,,,,,,,,,"""Even as our economy is growing, America's cut our carbon pollution more than any other advanced nation on Earth."" â€”President Obama",
"This July, we will begin to bring our troops home from Afghanistan. #SOTU",,,â€œYou canâ€™t stand up to China when all youâ€™ve done is send them our jobs.â€â€”President Obama on Mitt Romney,,,,,,â€œThose who say we can walk away from this deal and maintain sanctions are selling a fantasy.â€ â€”President Obama #IranDeal,"President Obama: â€œFinally, Iâ€™ll use the savings from ending the wars in Afghanistan and Iraq to do some nation-building here at home.â€",,,,,,,,,,,,"""For the first time, more than 90% of Americans are covered."" â€”President Obama http://ofa.bo/b5MOÂ  #GetCovered",
"In case you missed it last night, watch the address that lays out the way forward in Afghanistan: http://bit.ly/4IS8n7",,,"FACT: Romney would eliminate U.S. taxes on companiesâ€™ foreign profits, which could create 800,000 jobs in other countries including China.",,,,,,"""Even before taking office, I made clear that Iran would not be allowed to acquire a nuclear weapon on my watch."" â€”President Obama #IranDeal","President Obama: ""I told you weâ€™d end the war in Iraq. We did. I said weâ€™d end the war in Afghanistan. We are."" #PromiseKept",,,,,,,,,,,,Retweet if you support American leadership on climate change. #ActOnClimatepic.twitter.com/nzUDGeuE7v,
The address to the nation on Afghanistan is about to beginâ€”tune in at 8:00pm ET. http://bit.ly/5UQoD1,,,â€œIâ€™m not gonna cede the wind or solar or battery industry to China or Germany.â€â€”the President on his commitment to American clean energy,,,,,,"â€œMore than a decade later, we still live with the consequences of the decision to invade Iraq.â€ â€”President Obama #IranDeal","Obama: ""Governor, the problem is that on a whole range of issues, the Middle East, Afghanistan, Iraq... you've been all over the map.""",,,,,,,,,,,,"""Shipping crude oil into our country would not increase America's energy security."" â€”President Obama #KeystoneXL",
,,,"President Obama at a Boeing production facility: â€œEven when we canâ€™t make things faster or cheaper than China, we can make them better.â€",,,,,,"""This deal will make America and the world safer and more secure."" â€”President Obama on the #IranDealhttp://ofa.bo/c4sdÂ ","Romney said bringing our troops home from Iraq was ""tragic"": http://OFA.BO/1ZGvbvÂ  #RomneyWrong",,,,,,,,,,,,"""The pipeline would not lower gas prices for American consumers."" â€”President Obama on rejecting the #KeystoneXL",
,,,"""Iâ€™m announcing the creation of a Trade Enforcement Unit charged with investigating unfair trading practices in countries like China.""",,,,,,Happening now: The President is delivering a statement on Iran. http://ofa.bo/j4XvÂ ,"President Obama on Romney: ""Just a few weeks ago, you said you think we should have more troops in Iraq right now."" #RomneyWrong",,,,,,,,,,,,Working hard in America shouldn't mean choosing between a paycheck and a sick kid at home. #LeadOnLeavepic.twitter.com/Y4risUgFzH,
,,,,,,,,,"President Obama: ""As long as I'm President of the United States, Iran will not get a nuclear weapon."" #StrongerWithObama","President Obama: ""We ended the war in Iraq, refocused ourselves on who actually attacked us on 9-11."" #StrongerWithObama",,,,,,,,,,,,Spread the word: There are nearly 10.5 million uninsured Americans who may be eligible to #GetCovered in 2016.pic.twitter.com/2X9XiLsgVR,
,,,,,,,,,"VP Biden on Iran: ""These are the most crippling sanctions in the history of sanctions. Period.""",FACT: President Obama kept his promise to end the war in Iraq. Romney called the decision to bring our troops home â€œtragic.â€,,,,,,,,,,,,17.6 million Americans have gained coverage under #Obamacareâ€”thatâ€™s a BFD.pic.twitter.com/BrSkDAvLsn,
,,,,,,,,,"President Obama on Iran: â€œWhen I see the casualness with which some of these folks talk about war, I'm reminded of the costs of war.""","President Obama: ""Four years ago, I told you weâ€™d end the war in Iraq. We did."" #PromiseKept",,,,,,,,,,,,America's mayors are calling for Congress to #DoSomething about gun violence.http://ofa.bo/q9OwÂ ,
,,,,,,,,,,"President Obama: ""I said I would end the war in Iraq, and I did."" #PromiseKept",,,,,,,,,,,,A new poll shows that a majority of Americans want common-sense laws on gun sales: http://ofa.bo/q9OiÂ  #DoSomething,
,,,,,,,,,,"President Obama: ""Four years ago, I told you I'd end the war in Iraq, and we did.""",,,,,,,,,,,,Add your name if you agree it's time for Congress to #DoSomething about gun violence in America. http://ofa.bo/g9QzÂ ,
,,,,,,,,,,"""Gov. Romney said it was 'tragic' to end the war in Iraq. I disagree. I think it was the right thing to do.""â€”President Obama",,,,,,,,,,,,17.6 million Americans coveredâ€”that's a number to celebrate: http://ofa.bo/s9QVÂ  #Obamacare,
,,,,,,,,,,"President Obama: ""I promised to end the war in Iraq, and we did.""",,,,,,,,,,,,America doesn't need another shutdownâ€”members of Congress need to do their job and pass a budget. Read more:http://ofa.bo/j9LZÂ ,
,,,,,,,,,,"Worth a RT: Obama's national security record - ending the Iraq war, decimating al Qaeda, restoring our standing abroad. http://OFA.BO/MDsQR2Â ",,,,,,,,,,,,"""The events of September 11, 2001, left a permanent mark on the spirit of every American."" â€”President Obamapic.twitter.com/oob3Hc0vmi",
,,,,,,,,,,"FACT: In 2008, Barack Obama said he would end the war in Iraq, and he kept his promise.http://OFA.BO/sxWcKbÂ ",,,,,,,,,,,,"""I believe that working Americans should have the basic security of paid leave."" â€”President Obama #LeadOnLeavehttp://www.snappytv.com/tc/799746Â ",
,,,,,,,,,,FACT: Romney said it was â€œtragicâ€ to bring troops home from Iraq.,,,,,,,,,,,,"Today, America celebrates the grit and resilience of working families. Happy #LaborDay.pic.twitter.com/WUEQreifAe",
,,,,,,,,,,"â€œFour years ago, I promised to end the war in Iraq. We did. I said weâ€™d wind down the war in Afghanistan in a responsible way. We are.â€",,,,,,,,,,,,"""Plain and simple, a shutdown would hurt working Americans."" â€”President Obamahttp://ofa.bo/r9IGÂ ",
,,,,,,,,,,President Obama on Mitt Romney: â€œHe said ending the war in Iraq was tragic. I said it was the right thing to do.â€,,,,,,,,,,,,"""As long as Iâ€™m President, America will lead the world to meet the threat of climate change."" â€”President Obamahttp://ofa.bo/h9MkÂ ",
,,,,,,,,,,"POTUS on ending the war in Iraq: â€œLetâ€™s now take half the money we were spending on war, and do some nation building here at home.â€",,,,,,,,,,,,"Add your name if you believe that when women succeed, America succeeds: http://ofa.bo/a578Â  #StandWithWomen",
,,,,,,,,,,"President Obama: ""For the first time in nine years, there are no Americans fighting in Iraq.""",,,,,,,,,,,,A majority of Americans favor a pathway to citizenship for illegal immigrants living in America:http://ofa.bo/t98vÂ ,
,,,,,,,,,,Our troops first went to Iraq 9 years ago todayâ€”now theyâ€™re home. Honor their service by writing a welcome home note:http://OFA.BO/fR1ycTÂ ,,,,,,,,,,,,"These three Marines lowered the American flag in #Cuba in 1961. Today, they raised it again:http://ofa.bo/q97HÂ ",
,,,,,,,,,,"""To watch him end the war in Iraq just as he said he would, I was almost speechless.""â€”Sharon, a veteran: http://OFA.BO/KWD1CGÂ  (via @OFA_NV)",,,,,,,,,,,,Today is the 80th birthday of #SocialSecurityâ€”a lifeline to millions of Americans.pic.twitter.com/rBA99iZ1L8,
,,,,,,,,,,"Barack Obama, 2007: ""All of this cannot come to pass until we bring an end to this war in Iraq."" http://OFA.BO/MytzWWÂ ",,,,,,,,,,,,"""What makes America special is our capacity to change."" â€”President Obamahttp://ofa.bo/h9IeÂ ",
,,,,,,,,,,"Four years ago today, candidate Obama told Iowans he'd reform health care and end the Iraq war: http://OFA.BO/suEgjwÂ  #promiseskept",,,,,,,,,,,,"""As Americans, we should be proud of this achievement."" â€”President Obama #IranDeal",
,,,,,,,,,,President Obama's message this morning on Iraq: http://OFA.BO/yA7X6qÂ ,,,,,,,,,,,,"""President Kennedy warned Americans not to see conflict as inevitable. It is time to apply such wisdom.â€ â€”President Obama #IranDeal",
,,,,,,,,,,President Obama welcomes our troops home as we mark the end of the war in Iraq:http://OFA.BO/2Kw6LfÂ ,,,,,,,,,,,,ICYMI: Some of America's largest businesses are investing in clean energy to cut carbon pollution. http://ofa.bo/g95aÂ  #ActOnClimate,
,,,,,,,,,,"As our troops leave Iraq, learn more about how the President is supporting our veterans once they return home: http://OFA.BO/1MwyvFÂ ",,,,,,,,,,,,"Study shows #Obamacare leads to fewer uninsured Americans, better health, and improved access to care:http://ofa.bo/e4ssÂ ",
,,,,,,,,,,A look at President Obama's commitment to ending the war in Iraq: http://OFA.BO/1RH4FfÂ ,,,,,,,,,,,,American businesses are pledging $140 billion to reduce carbon pollution and #ActOnClimate:http://ofa.bo/q920Â ,
,,,,,,,,,,"With the war in Iraq ending, the Presidentâ€™s commitment to our servicemembers remains strong. Hereâ€™s a closer look:http://OFA.BO/5y8o9vÂ ",,,,,,,,,,,,"""This is not just about American rights. It's about human rights."" â€”President Obama #ADA25",
,,,,,,,,,,RT @alli_hanson @BarackObama Ending war in Iraq means that my son might grow up in a peacetime America. Thank you Mr. President.,,,,,,,,,,,,"""A few years ago I issued an executive order requiring the federal government to hire more Americans with disabilities."" â€”President Obama",
,,,,,,,,,,"With the war in Iraq coming to a close, share what this moment means to you.",,,,,,,,,,,,"""We are not just Americans, but citizens of Earth."" â€”@StationCDRKelly http://ofa.bo/f96EÂ pic.twitter.com/nGPsTVC4Hh",
,,,,,,,,,,"Earlier today, the President announced the removal of the last U.S. troops from Iraq. Watch his statement:http://OFA.BO/gQsoM9Â ",,,,,,,,,,,,"""This deal will make America and the world safer and more secure."" â€”President Obama on the #IranDealhttp://ofa.bo/c4sdÂ ",
,,,,,,,,,,"President Obama: ""Today, I can report that, as promised, the rest of our troops in Iraq will come home by the end of this year.""",,,,,,,,,,,,"""If we keep taking steps toward a more perfect union ... America will move forward. There's nothing we can't do."" â€”President Obama",
,,,,,,,,,,"The Iraqi people will have a strong partner in the United States. Our combat mission is ending, but our commitment to Iraqâ€™s future is not.",,,,,,,,,,,,"""Around one million fathers are behind bars. Around one in nine African-American kids has a parent in prison."" â€”President Obama",
,,,,,,,,,,There were patriots who supported this war and who opposed it. We are united in appreciation for our troops and our hope for Iraqâ€™s future.,,,,,,,,,,,,"""African Americans are more likely to be arrested. They are more likely to be sentenced to more time for the same crime."" â€”President Obama",
,,,,,,,,,,I made a pledge to the American people as a candidate for this officeâ€”and tonight the American combat mission in Iraq has ended.,,,,,,,,,,,,"""African Americans and Latinos make up 30 percent of our population. They make up 60 percent of our inmates."" â€”President Obama",
,,,,,,,,,,Addressing the nation from the Oval Office about the end of the war in Iraq. Watch live at 8pm ET. http://wh.gov/live,,,,,,,,,,,,"""For $80 billion we could double the salary of every high school teacher in America."" â€”President Obama",
,,,,,,,,,,"As we mark the end of Americaâ€™s combat mission in Iraq, a grateful nation pays tribute to all who have served there. http://j.mp/9Yowhz",,,,,,,,,,,,"""There is a long history of inequity in the criminal justice system in America."" â€”President Obama",
,,,,,,,,,,"Thank you to all the men and women who have served in Iraq. Your dedication, bravery and courage have made America safer. http://j.mp/d0BqjP",,,,,,,,,,,,"""Happy Fourth of July, everybody. God bless you. God bless America."" â€”President Obama",
,,,,,,,,,,"As a presidential candidate, I pledged to bring the Iraq war to a responsible end. That's exactly what we're doingâ€”as promised, on schedule.",,,,,,,,,,,,"""The last seven yearsâ€”shoot, the last seven daysâ€”should remind us there's nothing America cannot do."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""In America, a hard day's work deserves a fair day's pay."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""We need to boost the minimum wage. Give America a raise."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""It's been a remarkable few weeks in America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""No matter where you live, this is a special time of year to be an American."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Add your name if you agree that it's time to stand up and do something about gun violence in America:http://ofa.bo/r8f7Â ,
,,,,,,,,,,,,,,,,,,,,,,"""America should be very proud."" â€”President Obama #LoveWins",
,,,,,,,,,,,,,,,,,,,,,,"""America is a place where you can write your own destiny."" â€”President Obama #LoveWins",
,,,,,,,,,,,,,,,,,,,,,,"""When all Americans are treated as equal, we are all more free."" â€”President Obama #LoveWins",
,,,,,,,,,,,,,,,,,,,,,,"""This ruling is a victory for America."" â€”President Obama #LoveWins",
,,,,,,,,,,,,,,,,,,,,,,"""This was a good day for America. Let's get back to work."" â€”President Obama #ACAWorks",
,,,,,,,,,,,,,,,,,,,,,,"""That's when America soarsâ€”when we look out for one another."" â€”President Obama #ACAWorks",
,,,,,,,,,,,,,,,,,,,,,,"""Five years in, this is no longer about a law ... This is health care in America."" â€”President Obama #ACAworks",
,,,,,,,,,,,,,,,,,,,,,,"""America would have gone backwards. That's not what we do. We move forward."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Repealing #Obamacare would leave 19 million Americans without the security of health care:http://ofa.bo/s8VrÂ ,
,,,,,,,,,,,,,,,,,,,,,,When all Americans are treated equallyâ€”no matter who they are or whom they loveâ€”our country will be a better place.http://ofa.bo/f6jmÂ ,
,,,,,,,,,,,,,,,,,,,,,,Another reason why health care reform is so important to millions of Americans.pic.twitter.com/9A0mRMXsqL,
,,,,,,,,,,,,,,,,,,,,,,These #CleanWaterRules will protect America's drinking water from polluters.pic.twitter.com/P643CfwEBV,
,,,,,,,,,,,,,,,,,,,,,,Millions of Americans are counting on this.pic.twitter.com/ncc9veKX6Q,
,,,,,,,,,,,,,,,,,,,,,,"""Americans gave everything they hadâ€”not for glory ... but for something greater than themselves."" â€”President Obamahttp://ofa.bo/i5vJÂ ",
,,,,,,,,,,,,,,,,,,,,,,America needs to lead the way and #ActOnClimate. http://ofa.bo/q5r2Â pic.twitter.com/U3T5negdYn,
,,,,,,,,,,,,,,,,,,,,,,It's time to give American workers the security of paid leave. #LeadOnLeavepic.twitter.com/u0vythSZ0g,
,,,,,,,,,,,,,,,,,,,,,,"""When the playing field is level, nobody beats the United States of America."" â€”President Obama #LeadOnTrade",
,,,,,,,,,,,,,,,,,,,,,,"Thanks to health care reform, people have more optionsâ€”just another reason Americans are #BetterWithObamacare:http://ofa.bo/r4wQÂ ",
,,,,,,,,,,,,,,,,,,,,,,"Congratulations to Loretta Lynch, who was sworn in as U.S. attorney general today, the first African-American woman to hold the post.",
,,,,,,,,,,,,,,,,,,,,,,America can't stand by and let other countries #LeadOnTrade. We have to step up and write free and fair trade rules.pic.twitter.com/epz8uJekra,
,,,,,,,,,,,,,,,,,,,,,,"""Today, more than 16 million Americans have gained the security of health insurance."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""No matter who you are, no matter where you live, our parks ... are your birthright as Americans.""  â€”President Obama  #FindYourPark",
,,,,,,,,,,,,,,,,,,,,,,"""Every dollar invested in the National Park Service generates $10 for the American economy. That's a good investment."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""When women succeed, America succeeds."" â€”President Obama #EqualPayNow",
,,,,,,,,,,,,,,,,,,,,,,WATCH: The Obama administration supports a ban on conversion therapy to protect America's youth.http://ofa.bo/s4hMÂ ,
,,,,,,,,,,,,,,,,,,,,,,"The President is launching an initiative to train 75,000 Americansâ€”including veteransâ€”to join the solar workforce:http://ofa.bo/j4b6Â ",
,,,,,,,,,,,,,,,,,,,,,,We need a budget that works for every Americanâ€”not just the wealthy few.pic.twitter.com/GOsmghWkdm,
,,,,,,,,,,,,,,,,,,,,,,"""There's nothing we can't do if the American people decide it's time."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Thanks to the hard work of the American people, America's coming back."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""In America, if you work hard, you can get ahead."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""It's the end of discrimination against the sick in America."" â€”President Obama on how we're #BetterWithObamacare.http://ofa.bo/a42rÂ ",
,,,,,,,,,,,,,,,,,,,,,,"On the fifth anniversary of health care reform, see how America is #BetterWithObamacare: http://ofa.bo/c3tzÂ pic.twitter.com/ZdvOy37FwM",
,,,,,,,,,,,,,,,,,,,,,,LIVE: President Obama is speaking about helping all young Americans reach their full potential at the #WHFilmFest. http://ofa.bo/t46uÂ ,
,,,,,,,,,,,,,,,,,,,,,,America needs a budget that builds a stronger middle classâ€”not one that revisits failed policies.pic.twitter.com/MQFFJp8gCT,
,,,,,,,,,,,,,,,,,,,,,,"Thanks to #Obamacare, 16.4 million more Americans have the security of health coverage. http://ofa.bo/g3tgÂ ",
,,,,,,,,,,,,,,,,,,,,,,"In the weekly address, President Obama lays out his plan for quality, affordable higher education for all Americans:http://ofa.bo/d3U2Â ",
,,,,,,,,,,,,,,,,,,,,,,"We've already tripled wind energy in America, but there's more we can do. http://ofa.bo/h3eSÂ  #SwitchToClean",
,,,,,,,,,,,,,,,,,,,,,,"Solar power is growing at record rates, supporting American jobs and helping fight climate change: http://ofa.bo/h3aTÂ  #SwitchToClean",
,,,,,,,,,,,,,,,,,,,,,,"""I believe America is not a place where higher education is a privilege reserved for the few."" â€”President Obama #CollegeOpportunity",
,,,,,,,,,,,,,,,,,,,,,,"""We know America is what we make of it."" â€”President Obama #Selma50 #MarchOn",
,,,,,,,,,,,,,,,,,,,,,,"""This is work for all Americans, and not just some. Not just whites. Not just blacks."" â€”President Obama #Selma50 #MarchOn",
,,,,,,,,,,,,,,,,,,,,,,"""What greater form of patriotism is there than the belief that America is not yet finished."" â€”President Obama #Selma50 #MarchOn",
,,,,,,,,,,,,,,,,,,,,,,"""There are places and moments in America where this nationâ€™s destiny has been decided ... Selma is such a place."" â€”President Obama #MarchOn",
,,,,,,,,,,,,,,,,,,,,,,Repealing the Affordable Care Act would mean millions of Americans could lose their health insurance:http://ofa.bo/e2iWÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""I'm not pushing these ideas for my sake. I'm pushing them because I think this is where America needs to go."" â€”President Obama #Leadership",
